形状,断面,ボルト,ガセット,全断面積,有効断面,許容耐力,終局耐力
山形鋼,L-65x65x6,5-M16,9x90,7.527,4.497,105.6,176.9
山形鋼,L-75x75x6,5-M16,9x95,8.727,5.397,126.8,205.1
山形鋼,L-75x75x9,5-M16,9x125,12.69,7.695,180.8,298.3
山形鋼,L-75x75x12,6-M16,9x160,16.56,9.9,232.6,389.2
山形鋼,L-90x90x7,5-M20,9x125,12.22,7.53,176.9,287.2
山形鋼,L-90x90x10,5-M20,9x165,17,10.3,242,399.5
山形鋼,L-90x90x13,6-M20,12x160,21.71,13,305.5,510.2
山形鋼,L-100x100x7,4-M20,9x135,13.62,8.58,201.6,320.1
山形鋼,L-100x100x10,5-M20,9x185,19,11.8,277.3,446.5
山形鋼,L-100x100x13,6-M20,12x180,24.31,14.95,351.3,571.3
山形鋼,2L-65x65x6,5-M16,6x165,15.054,12.894,303,353.8
山形鋼,2L-75x75x6,5-M16,9x190,17.454,15.294,359.4,410.2
山形鋼,2L-75x75x9,5-M20,12x205,25.38,21.42,503.4,596.4
山形鋼,2L-75x75x12,7-M16,12x260,33.12,28.8,633.2,778.3
山形鋼,2L-90x90x7,5-M20,12x205,24.44,21.36,502,574.3
山形鋼,2L-90x90x10,5-M20,12x270,34,29.6,695.6,799
山形鋼,2L-90x90x13,7-M20,12x340,43.42,37.7,886,1020.3
山形鋼,2L-100x100x7,5-M20,12x225,27.24,24.16,567.8,640.2
山形鋼,2L-100x100x10,6-M20,12x305,38,33.6,789.6,893
山形鋼,2L-100x100x13,8-M20,12x385,48.62,42.9,1008.2,1142.6
山形鋼,2L(並)-65x65x6,5x2-M16,9x160,15.054,8.994,211.3,353.8
山形鋼,2L(並)-75x75x6,5x2-M16,9x185,17.454,10.794,253.6,410.2
山形鋼,2L(並)-75x75x9,5x2-M16,9x250,25.38,15.39,361.6,596.4
山形鋼,2L(並)-75x75x12,6x2-M16,9x315,33.12,19.8,465.3,778.3
山形鋼,2L(並)-90x90x7,5x2-M20,9x250,24.44,15.06,353.9,574.3
山形鋼,2L(並)-90x90x10,5x2-M20,9x330,34,20.6,484.1,799
山形鋼,2L(並)-90x90x13,6x2-M20,12x320,43.42,26,611,1020.3
山形鋼,2L(並)-100x100x7,4x2-M20,9x270,27.24,17.16,403.2,640.2
山形鋼,2L(並)-100x100x10,5x2-M20,9x370,38,23.6,554.6,893
山形鋼,2L(並)-100x100x13,6x2-M20,12x355,48.62,29.9,702.6,1142.6
溝形鋼,[-100x50x5x7.5,5-M20,9x130,11.92,7.07,166.1,280.1
溝形鋼,[-125x65x6x8,6-M20,9x180,17.11,10.59,248.8,402.1
溝形鋼,[-150x75x6.5x10,8千鳥-M20,9x240,23.71,14.244,334.7,557.2
溝形鋼,[-150x75x9x12.5,9千鳥-M20,9x300,30.59,18.493,434.5,718.8
溝形鋼,[-200x90x8x13.5,2x5-M20,12x300,38.65,22.98,540,908.3
溝形鋼,2[-100x50x5x7.5,5-M20,12x205,23.84,21.64,508.5,560.3
溝形鋼,2[-125x65x6x8,6-M20,16x220,34.22,31.58,742.1,804.2
溝形鋼,2[-150x75x6.5x10,8千鳥-M20,16x305,47.42,43.488,1022,1114.3
溝形鋼,2[-150x75x9x12.5,10千鳥-M20,16x380,61.18,55.735,1309.8,1437.8
溝形鋼,2[-200x90x8x13.5,2x6-M20,19x410,77.3,70.26,1618.2,1816.6
ﾀｰﾝﾊﾞｯｸﾙ,TB-M12,1-M12,6x60,0.889,0.889,21,21
ﾀｰﾝﾊﾞｯｸﾙ,TB-M14,1-M16,6x60,1.22,1.22,28.7,28.7
ﾀｰﾝﾊﾞｯｸﾙ,TB-M16,1-M16,9x70,1.64,1.64,38.6,38.6
ﾀｰﾝﾊﾞｯｸﾙ,TB-M18,1-M20,9x70,2.04,2.04,48,48
ﾀｰﾝﾊﾞｯｸﾙ,TB-M20,1-M20,9x80,2.58,2.58,60.6,60.6
ﾀｰﾝﾊﾞｯｸﾙ,TB-M22,1-M22,12x80,3.18,3.18,74.7,74.7
ﾀｰﾝﾊﾞｯｸﾙ,TB-M24,2-M20,12x90,3.72,3.72,87.7,87.7
ﾀｰﾝﾊﾞｯｸﾙ,TB-M27,2-M20,12x90,4.82,4.82,114,114
ﾀｰﾝﾊﾞｯｸﾙ,TB-M30,2-M22,12x100,5.91,5.91,139,139
ﾀｰﾝﾊﾞｯｸﾙ,TB-M33,2-M22,12x110,7.27,7.27,172,172
平鋼,FB-65x6,2-M16,6x65,3.9,2.82,66.3,91.7
平鋼,FB-75x6,2-M16,6x75,4.5,3.42,80.4,105.8
平鋼,FB-65x9,3-M16,9x65,5.85,4.23,99.4,137.5
平鋼,FB-75x9,3-M16,9x75,6.75,5.13,120.6,158.7
平鋼,FB-90x9,3-M20,9x90,8.1,6.12,143.8,190.3
平鋼,FB-100x9,3-M20,9x100,9,7.02,165,211.5
平鋼,FB-90x12,3-M20,12x90,10.8,8.13,191.8,253.8
平鋼,FB-100x12,4-M20,12x100,12,9.36,220,282
平鋼,FB-90x16,4-M20,12x115,14.4,10.88,255.7,338.4
平鋼,FB-100x16,5-M20,12x130,16,12.48,293.3,376
山形鋼,L-65x65x6,5-M16,9x90,7.527,4.497,105.6,176.9
山形鋼,L-75x75x6,5-M16,9x95,8.727,5.397,126.8,205.1
山形鋼,L-75x75x9,5-M16,9x125,12.69,7.695,180.8,298.3
山形鋼,L-75x75x12,6-M16,9x160,16.56,9.9,232.6,389.2
山形鋼,L-90x90x7,5-M20,9x125,12.22,7.53,176.9,287.2
山形鋼,L-90x90x10,5-M20,9x165,17,10.3,242,399.5
山形鋼,L-90x90x13,6-M20,12x160,21.71,13,305.5,510.2
山形鋼,L-100x100x7,4-M20,9x135,13.62,8.58,201.6,320.1
山形鋼,L-100x100x10,5-M20,9x185,19,11.8,277.3,446.5
山形鋼,L-100x100x13,6-M20,12x180,24.31,14.95,351.3,571.3
山形鋼,2L-65x65x6,5-M16,6x165,15.054,12.894,303,353.8
山形鋼,2L-75x75x6,5-M16,9x190,17.454,15.294,359.4,410.2
山形鋼,2L-75x75x9,5-M20,12x205,25.38,21.42,503.4,596.4
山形鋼,2L-75x75x12,7-M16,12x260,33.12,28.8,633.2,778.3
山形鋼,2L-90x90x7,5-M20,12x205,24.44,21.36,502,574.3
山形鋼,2L-90x90x10,5-M20,12x270,34,29.6,695.6,799
山形鋼,2L-90x90x13,7-M20,12x340,43.42,37.7,886,1020.3
山形鋼,2L-100x100x7,5-M20,12x225,27.24,24.16,567.8,640.2
山形鋼,2L-100x100x10,6-M20,12x305,38,33.6,789.6,893
山形鋼,2L-100x100x13,8-M20,12x385,48.62,42.9,1008.2,1142.6
山形鋼,2L(並)-65x65x6,5x2-M16,9x160,15.054,8.994,211.3,353.8
山形鋼,2L(並)-75x75x6,5x2-M16,9x185,17.454,10.794,253.6,410.2
山形鋼,2L(並)-75x75x9,5x2-M16,9x250,25.38,15.39,361.6,596.4
山形鋼,2L(並)-75x75x12,6x2-M16,9x315,33.12,19.8,465.3,778.3
山形鋼,2L(並)-90x90x7,5x2-M20,9x250,24.44,15.06,353.9,574.3
山形鋼,2L(並)-90x90x10,5x2-M20,9x330,34,20.6,484.1,799
山形鋼,2L(並)-90x90x13,6x2-M20,12x320,43.42,26,611,1020.3
山形鋼,2L(並)-100x100x7,4x2-M20,9x270,27.24,17.16,403.2,640.2
山形鋼,2L(並)-100x100x10,5x2-M20,9x370,38,23.6,554.6,893
山形鋼,2L(並)-100x100x13,6x2-M20,12x355,48.62,29.9,702.6,1142.6
溝形鋼,[-100x50x5x7.5,5-M20,9x130,11.92,7.07,166.1,280.1
溝形鋼,[-125x65x6x8,6-M20,9x180,17.11,10.59,248.8,402.1
溝形鋼,[-150x75x6.5x10,8千鳥-M20,9x240,23.71,14.244,334.7,557.2
溝形鋼,[-150x75x9x12.5,9千鳥-M20,9x300,30.59,18.493,434.5,718.8
溝形鋼,[-200x90x8x13.5,2x5-M20,12x300,38.65,22.98,540,908.3
溝形鋼,2[-100x50x5x7.5,5-M20,12x205,23.84,21.64,508.5,560.3
溝形鋼,2[-125x65x6x8,6-M20,16x220,34.22,31.58,742.1,804.2
溝形鋼,2[-150x75x6.5x10,8千鳥-M20,16x305,47.42,43.488,1022,1114.3
溝形鋼,2[-150x75x9x12.5,10千鳥-M20,16x380,61.18,55.735,1309.8,1437.8
溝形鋼,2[-200x90x8x13.5,2x6-M20,19x410,77.3,70.26,1618.2,1816.6
ﾀｰﾝﾊﾞｯｸﾙ,TB-M12,1-M12,6x60,0.889,0.889,21,21
ﾀｰﾝﾊﾞｯｸﾙ,TB-M14,1-M16,6x60,1.22,1.22,28.7,28.7
ﾀｰﾝﾊﾞｯｸﾙ,TB-M16,1-M16,9x70,1.64,1.64,38.6,38.6
ﾀｰﾝﾊﾞｯｸﾙ,TB-M18,1-M20,9x70,2.04,2.04,48,48
ﾀｰﾝﾊﾞｯｸﾙ,TB-M20,1-M20,9x80,2.58,2.58,60.6,60.6
ﾀｰﾝﾊﾞｯｸﾙ,TB-M22,1-M22,12x80,3.18,3.18,74.7,74.7
ﾀｰﾝﾊﾞｯｸﾙ,TB-M24,2-M20,12x90,3.72,3.72,87.7,87.7
ﾀｰﾝﾊﾞｯｸﾙ,TB-M27,2-M20,12x90,4.82,4.82,114,114
ﾀｰﾝﾊﾞｯｸﾙ,TB-M30,2-M22,12x100,5.91,5.91,139,139
ﾀｰﾝﾊﾞｯｸﾙ,TB-M33,2-M22,12x110,7.27,7.27,172,172
平鋼,FB-65x6,2-M16,6x65,3.9,2.82,66.3,91.7
平鋼,FB-75x6,2-M16,6x75,4.5,3.42,80.4,105.8
平鋼,FB-65x9,3-M16,9x65,5.85,4.23,99.4,137.5
平鋼,FB-75x9,3-M16,9x75,6.75,5.13,120.6,158.7
平鋼,FB-90x9,3-M20,9x90,8.1,6.12,143.8,190.3
平鋼,FB-100x9,3-M20,9x100,9,7.02,165,211.5
平鋼,FB-90x12,3-M20,12x90,10.8,8.13,191.8,253.8
平鋼,FB-100x12,4-M20,12x100,12,9.36,220,282
平鋼,FB-90x16,4-M20,12x115,14.4,10.88,255.7,338.4
平鋼,FB-100x16,5-M20,12x130,16,12.48,293.3,376
